Client 0 throughput 1388 | avg latency ms 12.051360780259358
Client 1 throughput 1388 | avg latency ms 12.037371128962532
Client 2 throughput 1388 | avg latency ms 12.051609099423619
Client 3 throughput 1388 | avg latency ms 12.050517262247855
Client 4 throughput 1388 | avg latency ms 12.05093738544669
Client 5 throughput 1388 | avg latency ms 12.05133415561961
Client 6 throughput 1388 | avg latency ms 12.051712042507212
Client 7 throughput 1388 | avg latency ms 12.042111307636896
Client 8 throughput 1388 | avg latency ms 12.051182806195957
Client 9 throughput 1388 | avg latency ms 12.050528371037453
Client 10 throughput 1388 | avg latency ms 12.051537489193082
Client 11 throughput 1388 | avg latency ms 12.048690325648412
Client 12 throughput 1388 | avg latency ms 12.046003903458216
Client 13 throughput 1388 | avg latency ms 12.051981774495685
Client 14 throughput 1388 | avg latency ms 12.050503322766561
Client 15 throughput 1388 | avg latency ms 12.051501530259367
Client 16 throughput 1388 | avg latency ms 12.043074489193085
Client 17 throughput 1388 | avg latency ms 12.050857586455333
Client 18 throughput 1388 | avg latency ms 12.05180129322766
Client 19 throughput 1388 | avg latency ms 12.05065073126801
Client 20 throughput 1388 | avg latency ms 12.051498076368885
Client 21 throughput 1388 | avg latency ms 12.04907612824205
Client 22 throughput 1388 | avg latency ms 12.050778487752172
Client 23 throughput 1388 | avg latency ms 12.05133603962536
Client 24 throughput 1388 | avg latency ms 12.050843013688754
Client 25 throughput 1388 | avg latency ms 12.037421845821314
Client 26 throughput 1388 | avg latency ms 12.051660529538895
Client 27 throughput 1388 | avg latency ms 12.051440509366005
Client 28 throughput 1388 | avg latency ms 12.051078175792496
Client 29 throughput 1388 | avg latency ms 12.042533504322753
Client 30 throughput 1388 | avg latency ms 12.048099611671462
Client 31 throughput 1388 | avg latency ms 12.041162993515865
[[DONE]]
Throughput 3701 | avg latency ms 12.04881861565652
Client 0 throughput 1386 | avg latency ms 12.030993318903336
Client 1 throughput 1386 | avg latency ms 12.038817911255409
Client 2 throughput 1386 | avg latency ms 12.039067192640706
Client 3 throughput 1386 | avg latency ms 12.039290308802316
Client 4 throughput 1386 | avg latency ms 12.038590484848465
Client 5 throughput 1386 | avg latency ms 12.0386578051948
Client 6 throughput 1386 | avg latency ms 12.038585906926414
Client 7 throughput 1386 | avg latency ms 12.04210018253969
Client 8 throughput 1386 | avg latency ms 12.038289170274147
Client 9 throughput 1386 | avg latency ms 12.039207751082266
Client 10 throughput 1386 | avg latency ms 12.037173038961038
Client 11 throughput 1386 | avg latency ms 12.04252414430014
Client 12 throughput 1386 | avg latency ms 12.043370211399713
Client 13 throughput 1386 | avg latency ms 12.038695451659466
Client 14 throughput 1386 | avg latency ms 12.043616134199139
Client 15 throughput 1386 | avg latency ms 12.042552093795093
Client 16 throughput 1386 | avg latency ms 12.038788797258308
Client 17 throughput 1386 | avg latency ms 12.030808551948052
Client 18 throughput 1386 | avg latency ms 12.03913713203464
Client 19 throughput 1385 | avg latency ms 12.043563231768953
Client 20 throughput 1386 | avg latency ms 12.038704858585849
Client 21 throughput 1386 | avg latency ms 12.039046566378056
Client 22 throughput 1386 | avg latency ms 12.040231706349207
Client 23 throughput 1386 | avg latency ms 12.039912598845607
Client 24 throughput 1386 | avg latency ms 12.0399393953824
Client 25 throughput 1386 | avg latency ms 12.0393778780664
Client 26 throughput 1386 | avg latency ms 12.039802406204911
Client 27 throughput 1386 | avg latency ms 12.03874691630592
Client 28 throughput 1386 | avg latency ms 12.038977640692641
Client 29 throughput 1386 | avg latency ms 12.039014544011525
Client 30 throughput 1386 | avg latency ms 12.040473046897533
Client 31 throughput 1386 | avg latency ms 12.037996466810968
[[DONE]]
Throughput 3695 | avg latency ms 12.039251554170146
